No,カテゴリ,企業名,サービス名,機材カテゴリ,RTSとの一致度,概要,料金情報,情報源URL,事業主の判定,指示・コメント
1,A:メーカー直営スクール,デンソーウェーブ,ロボットスクール,垂直多関節（自社製）,低,自社製ロボットのみの単発講習。レンタル・月額課金なし,受講料2.9万〜11万円/2〜4日,https://www.denso-wave.com/ja/robot/support/service/,,
2,A:メーカー直営スクール,安川電機,ロボットスクール,垂直多関節（自社製）,低,自社製ロボットのみの単発講習,受講料要問合せ,https://www.e-mechatronics.com/support/school/robot/course.html,,
3,A:メーカー直営スクール,ファナック,アカデミ講習会,垂直多関節/SCARA（自社製）,低,自社製ロボットのみの単発講習,受講料要問合せ,https://www.fanuc.co.jp/ja/training/course/robot/,,
4,A:メーカー直営スクール,IAI,スカラ/直交ロボット製品,卓上・直交・SCARA（JANOMEと同カテゴリ）,中,JANOMEの直接的な製品競合メーカー。教育・レンタル事業の情報は確認できず,不明（要問合せ）,https://www.iai-robot.co.jp/product/series/scara.html,,
5,B:ロボット単体レンタル,オリックス・レンテック,RoboRen（ロボレン）,協働ロボット（CRX/UR/YuMi等・生産用大型中心。COBOTTAのみ小型）,低,ロボット本体レンタル＋簡易ティーチング。生産ライン向け実機が中心,協働ロボット月額約35万円/6ヶ月契約,https://www.orixrentec.jp/roboren/,,
6,B:ロボット単体レンタル,ROBOT CLOUD,ロボットレンタルポータル,複数メーカー横断（サイズ様々）,低,サブスク型レンタルポータル。貸出＋簡易レクチャー止まり,月額100円〜,https://robotcloud.jp/,,
7,B:ロボット単体レンタル（対象外確認済み）,TECHNO REACH,レンタル事業,多関節ロボット（生産用大型）,対象外,事業主確認：多関節の生産用大型ロボットが中心でRTSの小型卓上機とは別セグメント,月額20〜30万円,https://www.technoreach.co.jp/business/297/,対象外（確認済み）,
8,C:研修＋レンタル型,セレンディップ・ロボクロス,協働ロボット技術研修,協働ロボット（UR/テックマン限定・アーム型）,中,研修とレンタルを組合せる提供方式は類似。機材はアーム型協働ロボット,1日6万円（税抜）,https://www.serendip-rxm.com/technical-training/,,
9,D:FA人材育成専門機関,バイナス,DX人材育成教育センター,6軸小型垂直多関節ロボット（JANOME系と別カテゴリ）,中,「技術者がいない」という課題設定がRTSとほぼ同一。機材はJANOME系（卓上/直交/SCARA）ではない,非公開（要問合せ）,https://bynas.com/business3/,,
10,D:FA人材育成専門機関,FABIC,FAスキル取得カリキュラム,ロボット特化ではない（汎用問題解決手法）,低,ファンクショナル・アプローチという汎用手法の教育,認定試験2.2万円（税込）,https://fabic.jp/curriculum-list/faskill/,,
11,E:簡易教育用トイロボット,アフレル,DOBOT Magicianシリーズ,小型卓上ロボットアーム（教材グレード・産業グレード外）,中,名称は"卓上"だが教材グレード。学校向け中心,本体約13〜15万円（購入中心）,https://afrel.co.jp/product/dobot-education/,,
12,E:簡易教育用トイロボット,ヴイストン,Academic SCARA Robot,SCARA型（教材グレード・重量約570g）,低,SCARA型教育教材。学校向けプログラミング教材,価格不明（要問合せ）,https://www.vstone.co.jp/products/scara_robot/,,
13,参考,HCI-RT協会,産業用ロボット安全特別教育,特別教育団体（機材不問）,低,法令対応の特別教育が主目的,教示コース2.9万円/2日,https://www.hci-rt.jp/,,
